["imparfait",”je”,”tu”,”il / elle/ on”,”nous”,”vous”,”ils / elles”],
[”aimer”,”aimais”,”aimais”,”aimait”,”aimions”,”aimiez”,”aimaient”],
[”adorer”,”adorais”,”adorais”,”adorait”,”adorions”,”adoriez”,”adoraient”],
[”appeler”,”appelais”,”appelais”,”appelait”,”appelions”,”appeliez”,”appellaient”],
[”chercher”,”cherchais”,”cherchais”,”cherchait”,”cherchions”,”cherchiez”,”cherchaient”],
[”danser”,”dansais”,”dansais”,”dansait”,”dansions”,”dansiez”,”dansaient”],
[”détester”,”détestais”,”détestais”,”détestait”,”détestions”,”détestiez”,”détestaient”],
[”donner”,”donnais”,”donnais”,”donnait”,”donnions”,”donniez”,”donnaient”],
[”écouter”,”écoutais”,”écoutais”,”écoutait”,”écoutions”,”écoutiez”,”écoutaient”],
[”essayer”,”essayais”,”essayais”,”essayait”,”essayions”,”essayiez”,”essayaient”],
[”étudier”,”étudiais”,”étudiais”,”étudiait”,”étudiions”,”étudiiez”,”étudiaient”],
[”habiter”,”habitais”,”habitais”,”habitait”,”habitions”,”habitiez”,”habitaient”],
[”inviter”,”invitais”,”invitais”,”invitait”,”invitions”,”invitiez”,”invitaient”],
[”manger”,”mangeais”,”mangeais”,”mangeait”,”mangeions”,”mangeiez”,”mangeaient”],
[”marcher”,”marchais”,”marchais”,”marchait”,”marchions”,”marchiez”,”marchaient”],
[”nager”,”nageais”,”nageais”,”nageait”,”nagions”,”nagiez”,”nageaient”],
[”naviguer”,”naviguais”,”naviguais”,”naviguait”,”naviguions”,”naviguiez”,”naviguaient”],
[”parler”,”parlais”,”parlais”,”parlait”,”parlions”,”parliez”,”parlaient”],
[”partager”,”partageais”,”partageais”,”partageait”,”partagions”,”partagiez”,”partageaient”],
[”penser”,”pensais”,”pensais”,”pensait”,”pensions”,”pensiez”,”pensaient”],
[”préférer”,”préférais”,”préférais”,”préférait”,”préférions”,”préfériez”,”préféraient”],
[”rester”,”restais”,”restais”,”restait”,”restions”,”restiez”,”restaient”],
[”téléphoner”,”téléphonais”,”téléphonais”,”téléphonait”,”téléphonions”,”téléphoniez”,”téléphonaient”],
[”travailler”,”travaillais”,”travaillais”,”travaillait”,”travaillions”,”travailliez”,”travaillaient”],
[”trouver”,”trouvais”,”trouvais”,”trouvait”,”trouvions”,”trouviez”,”trouvaient”],
[”voyager”,”voyageais”,”voyageais”,”voyageait”,”voyagions”,”voyagiez”,”voyageaient”],
[”être”,”étais”,”étais”,”était”,”étions”,”étiez”,”étaient”],
[”avoir”,”avais”,”avais”,”avait”,”avions”,”aviez”,”avaient”],
[”chanter”,”chantais”,”chantais”,”chantait”,”chantions”,”chantiez”,”chantaient”],
[”continuer”,”continuais”,”continuais”,”continuait”,”continuions”,”continuiez”,”continuaient”],
[”faire”,”faisais”,”faisais”,”faisait”,”faisions”,”faisiez”,”faisaient”],
[”garder”,”gardais”,”gardais”,”gardait”,”gardions”,”gardiez”,”gardaient”],
[”jouer”,”jouais”,”jouais”,”jouait”,”jouions”,”jouiez”,”jouaient”],
[”louer”,”louais”,”louais”,”louait”,”louions”,”louiez”,”louaient”],
[”passer”,”passais”,”passais”,”passait”,”passions”,”passiez”,”passaient”],
[”penser”,”pensais”,”pensais”,”pensait”,”pensions”,”pensiez”,”pensaient”],
[”préparer”,”préparais”,”préparais”,”préparait”,”préparions”,”prépariez”,”préparaient”],
[”rentrer”,”rentrais”,”rentrais”,”rentrait”,”rentrions”,”rentriez”,”rentraient”],
[”aller”,”allais”,”allais”,”allait”,”allions”,”alliez”,”allaient”],
[”acheter”,”achetais”,”achetais”,”achetait”,”achetions”,”achetiez”,”achetaient”],
[”fermer”,”fermais”,”fermais”,”fermait”,”fermions”,”fermiez”,”fermaient”],
[”laisser”,”laissais”,”laissais”,”laissait”,”laissions”,”laissiez”,”laissaient”],
[”réserver”,”réservais”,”réservais”,”réservait”,”réservions”,”réserviez”,”réservaient”],
[”prendre”,”prenais”,”prenais”,”prenait”,”prenions”,”preniez”,”prenaient”],
[”boire”,”buvais”,”buvais”,”buvait”,”buvions”,”buviez”,”buvaient”],
[”ajouter”,”ajoutais”,”ajoutais”,”ajoutait”,”ajoutions”,”ajoutiez”,”ajoutaient”],
[”commander”,”commandais”,”commandais”,”commandait”,”commandions”,”commandiez”,”commandaient”],
[”couper”,”coupais”,”coupais”,”coupait”,”coupions”,”coupiez”,”coupaient”],
[”laver”,”lavais”,”lavais”,”lavait”,”lavions”,”laviez”,”lavaient”],
[”oublier”,”oubliais”,”oubliais”,”oubliait”,”oubliions”,”oubliiez”,”oubliaient”],
[”traverser”,”traversais”,”traversais”,”traversait”,”traversions”,”traversiez”,”traversaient”],
[”tourner”,”tournais”,”tournais”,”tournait”,”tournions”,”tourniez”,”tournaient”],
[”arriver”,”arrivais”,”arrivais”,”arrivait”,”arrivions”,”arriviez”,”arrivaient”],
[”changer”,”changeais”,”changeais”,”changeait”,”changions”,”changiez”,”changeaient”],
[”emmener”,”emmenais”,”emmenais”,”emmenait”,”emmenions”,”emmeniez”,”emmenaient”],
[”expliquer”,”expliquais”,”expliquais”,”expliquait”,”expliquions”,”expliquiez”,”expliquaient”],
[”indiquer”,”indiquais”,”indiquais”,”indiquait”,”indiquions”,”indiquiez”,”indiquaient”],
[”nettoyer”,”nettoyais”,”nettoyais”,”nettoyait”,”nettoyions”,”nettoyiez”,”nettoyaient”],
[”posséder”,”possédais”,”possédais”,”possédait”,”possédions”,”possédiez”,”possédaient”],
[”profiter”,”profitais”,”profitais”,”profitait”,”profitions”,”profitiez”,”profitaient”],
[”quitter”,”quittais”,”quittais”,”quittait”,”quittions”,”quittiez”,”quittaient”],
[”ranger”,”rangeais”,”rangeais”,”rangeait”,”rangions”,”rangiez”,”rangeaient”],
[”simplifier”,”simplifiais”,”simplifiais”,”simplifiait”,”simplifiions”,”simplifiiez”,”simplifiaient”],
[”vider”,”vidais”,”vidais”,”vidait”,”vidions”,”vidiez”,”vidaient”]
